gap_id,hazard_slug,priority,label,primitive,facility_set,threshold_min,subpopulation,hazard_polygon,denominator,unit,polarity,sentence_template,sentence_template_zero,sentence_template_unreliable,status,blocked_on,sources,notes
1,extreme-heat,3,Residents far from an indoor cool option,access_threshold,cool_options_indoor,15,all_residents,,district_population,pct_population,higher_is_worse,{pct}% of people in {district} live more than a {threshold_min}-minute walk from an indoor cool option.,,,blocked_on_data,access_measures,NYC OEM Cool Options (indoor); census block population; pedestrian network,
2,extreme-heat,2,"Indoor cool options per 10,000 residents",supply_ratio,cool_options_indoor,,,,district_population,per_10k,higher_is_better,"{district} has {per_10k} indoor cool options for every 10,000 residents.",,,available,,NYC OEM Cool Options (indoor); CHP population,Buildable now - no walk-time analysis required
3,extreme-heat,1,Cooling access in the most heat-vulnerable areas,access_threshold,cool_options_indoor,15,hvi_4_or_5,,hvi_4_or_5_population,pct_population,higher_is_worse,{pct}% of people in the most heat-vulnerable parts of {district} live more than a {threshold_min}-minute walk from an indoor cool option.,,,blocked_on_data,access_measures,NYC OEM Cool Options (indoor); HVI; census block population; pedestrian network,
4,extreme-heat,4,Park access in the most heat-vulnerable areas,access_threshold,parks,15,hvi_4_or_5,,hvi_4_or_5_population,pct_population,higher_is_worse,{pct}% of people in the most heat-vulnerable parts of {district} live more than a {threshold_min}-minute walk from a park.,,,blocked_on_data,access_measures,FacDB parks; HVI; pedestrian network,Source said '10/15 minutes'; pinned to 15 for consistency with gaps 1 and 3
5,extreme-heat,101,Heat vulnerability and respiratory illness combined,composite,,,,,,index,higher_is_worse,,,,retired,respiratory_illness_by_district,,"Respiratory illness by district does not exist - DOHMH publishes citywide only. Reframing to citywide makes it constant across all 14 districts, which fails the ranking criterion"
6,extreme-heat,5,Heat vulnerability against cooling resources,composite,,,,,,index,higher_is_worse,,,,deferred,"land_cover_processing,method_unspecified",HVI; population density; land cover; cool-option access,"Source gives a list of inputs, not a formula. Needs a method before it can be built"
7,heavy-rain,1,Residents in a stormwater flood area,exposure_overlay,,,all_residents,stormwater_moderate,district_population,pct_population,higher_is_worse,{pct}% of people in {district} live in an area that floods in heavy rain.,No one in {district} lives in an area that floods in heavy rain.,,available,,DEP stormwater flood map; ACS tract population,
8,heavy-rain,4,Flood-area residents far from an evacuation center,access_threshold,evacuation_centers,30,stormwater_flood_area,,stormwater_flood_population,pct_population,higher_is_worse,{pct}% of people in {district}'s flood-prone areas live more than a {threshold_min}-minute walk from an evacuation center.,,,blocked_on_data,access_measures,DEP stormwater flood map; Hurricane Evacuation Centers (p5md-weyf); pedestrian network,Source said 'X minutes'; pinned to 30 to match gap 14
9,heavy-rain,5,Average walk from a flood area to an evacuation center,access_mean,evacuation_centers,,stormwater_flood_area,,,minutes,higher_is_worse,The average walk from a flood-prone part of {district} to an evacuation center is {value} minutes.,,,blocked_on_data,access_measures,DEP stormwater flood map; Hurricane Evacuation Centers; pedestrian network,
10,heavy-rain,6,Flood-area residents with few nearby public resources,composite,,,,,,index,higher_is_worse,,,,deferred,"access_measures,method_unspecified",DEP stormwater flood map; canonical resources,"Source gives a list of inputs, not a formula"
11,heavy-rain,2,Critical resources in a flood area,exposure_overlay,critical_resources,,,stormwater_moderate,district_critical_resources,pct_facilities,higher_is_worse,{pct}% of {district}'s critical resources sit in an area that floods in heavy rain.,,,retired,critical_flag_removed,canonical resources (is_critical); DEP stormwater flood map,
12,heavy-rain,3,Flood areas overlapping wastewater facilities,exposure_overlay,wastewater_facilities,,,stormwater_moderate,district_population,pct_population,higher_is_worse,{pct}% of people in {district} live where flooding overlaps a wastewater facility.,No one in {district} lives where flooding overlaps a wastewater facility.,,available,,DEP stormwater flood map; FacDB wastewater facilities,Wastewater is excluded from the resource crosswalk as a resident resource but is fetched separately as a hazard layer
13,coastal-storm,4,Average walk to a hurricane evacuation center,access_mean,evacuation_centers,,all_residents,,,minutes,higher_is_worse,The average walk to a hurricane evacuation center in {district} is {value} minutes.,,,blocked_on_data,access_measures,Hurricane Evacuation Centers; census block population; pedestrian network,
14,coastal-storm,3,Evacuation-zone residents far from an evacuation center,access_threshold,evacuation_centers,30,hurricane_evac_zone_1_2,,evac_zone_population,pct_population,higher_is_worse,{pct}% of people in {district}'s evacuation zones live more than a {threshold_min}-minute walk from an evacuation center.,,,blocked_on_data,access_measures,Hurricane evacuation zones; Hurricane Evacuation Centers; pedestrian network,"Source said '15/30 minutes'; pinned to 30 - only 60 evacuation centres citywide, far sparser than cool options"
15,coastal-storm,6,"Evacuation-center capacity per 10,000 zone residents",supply_ratio,evacuation_centers,,,,evac_zone_population,per_10k,higher_is_better,"{district} has evacuation-center places for {value} of every 10,000 people living in an evacuation zone.",,,blocked_on_data,evacuation_center_capacity,Hurricane Evacuation Centers; evacuation zones,"Merged with retired gap 16, which was the same measure expressed as a deficit. p5md-weyf publishes no capacity field - ayer-cga7, cited in section 8f as the place to check, has zero columns"
16,coastal-storm,102,Evacuation capacity shortfall,composite,,,,,,index,higher_is_worse,,,,retired,merged_into_gap_15,,The same measure as gap 15 expressed as a deficit rather than a rate
17,coastal-storm,2,Evacuation resources inside the zones they serve,exposure_overlay,evacuation_centers,,,hurricane_evac_zones,district_evacuation_centers,pct_facilities,higher_is_worse,{pct}% of {district}'s evacuation centers sit inside an evacuation zone.,,,retired,measure_misspecified,Hurricane evacuation zones; Hurricane Evacuation Centers (p5md-weyf),
18,coastal-storm,1,Emergency alerts not published in local languages,composite,,,limited_english,hurricane_evac_zones,,count_speakers,higher_is_worse,"{speakers} people in {district} speak {language} with limited English, and Notify NYC does not publish alerts in it.",,An estimated {speakers} people in {district} speak {language} with limited English - too few for a reliable count - and Notify NYC does not publish alerts in it.,available,,Hurricane evacuation zones (epne-qv9x); DCP LEP languages; Notify NYC language list,The quick win of section 8f. All three inputs now in hand
19,coastal-storm,8,Hospital surge capacity inside evacuation zones,composite,hospital_surge,,,hurricane_evac_zones,,pct_facilities,higher_is_worse,,,,blocked_on_data,hospital_surge_capacity,Hurricane evacuation zones; trauma centres; hospital surge capacity,
20,infectious-disease,103,Respiratory illness against nearby health resources,composite,,,,,,index,higher_is_worse,,,,retired,respiratory_illness_by_district,,"Needs respiratory illness by district, which does not exist. Infectious disease is also pinned, so no gap attached to it can ever be displayed"
21,coastal-storm,5,Average distance to a hospital,access_mean,hospitals,,all_residents,,,minutes,higher_is_worse,The average trip to a hospital from {district} is {value} minutes.,,,blocked_on_data,access_measures,FacDB hospitals and clinics; pedestrian network,"Re-attached from infectious-disease, which is pinned and can never display a gap. Hospital access is load-bearing when evacuating medically vulnerable residents"
22,infectious-disease,104,High respiratory illness with low healthcare access,composite,,,,,,index,higher_is_worse,,,,retired,respiratory_illness_by_district,,"Needs respiratory illness by district, which does not exist. Hazard is pinned"
23,coastal-storm,7,"Hospital surge capacity per 10,000 residents",supply_ratio,hospital_surge,,,,district_population,per_10k,higher_is_better,"{district} has {value} surge beds for every 10,000 residents.",,,blocked_on_data,hospital_surge_capacity,Council hospital surge capacity request,"Re-attached from infectious-disease, which is pinned"
24,infectious-disease,105,Surge capacity against respiratory burden,composite,,,,,,index,higher_is_worse,,,,retired,respiratory_illness_by_district,,"Needs respiratory illness by district, which does not exist. Hazard is pinned"
25,air-quality,106,Residents far from an air-quality monitor,composite,,,,,,index,higher_is_worse,,,,retired,no_matching_hazard,,"Air quality is not one of the eight hazards, so this has no page to appear on"
26,air-quality,107,Average distance to an air-quality monitor,composite,,,,,,index,higher_is_worse,,,,retired,no_matching_hazard,,Air quality is not one of the eight hazards
27,hazmat,2,Residents near a solid-waste facility,exposure_overlay,solid_waste_facilities,,all_residents,buffer_0_5_mile,district_population,pct_population,higher_is_worse,{pct}% of people in {district} live within half a mile of a solid-waste facility.,No one in {district} lives within half a mile of a solid-waste facility.,,available,,FacDB solid waste facilities; ACS tract population,"Pinned to 0.5 mile on evidence, not convention. At 1 mile the solid-waste measure saturates - median 100%, 8 of 14 Queens districts at 100%, only 7 distinct values - so it stops discriminating between districts. At 0.5 mile both gaps give 14 distinct values. Euclidean buffer, not a network walk."
28,hazmat,3,Residents near a wastewater facility,exposure_overlay,wastewater_facilities,,all_residents,buffer_0_5_mile,district_population,pct_population,higher_is_worse,{pct}% of people in {district} live within half a mile of a wastewater treatment facility.,No one in {district} lives within half a mile of a wastewater treatment facility.,,available,,FacDB wastewater facilities; ACS tract population,"Pinned to 0.5 mile on evidence, not convention. At 1 mile the solid-waste measure saturates - median 100%, 8 of 14 Queens districts at 100%, only 7 distinct values - so it stops discriminating between districts. At 0.5 mile both gaps give 14 distinct values. Euclidean buffer, not a network walk."
29,hazmat,5,Green space against environmental burden,composite,,,,,,ratio,higher_is_better,,,,deferred,"land_cover_processing,environmental_burden_score,method_unspecified",Land cover raster; FacDB parks; MOCEJ Environmental Burden Score,"Source gives a list of inputs, not a formula"
30,hazmat,4,Near a hazardous facility and far from healthcare,composite,,,,,,index,higher_is_worse,,,,blocked_on_data,access_measures,FacDB solid waste and wastewater; FacDB hospitals,"Depends on gaps 27, 28 and 21"
31,hazmat,1,Hazardous facilities in a flood area,exposure_overlay,"solid_waste_facilities,wastewater_facilities",,,stormwater_moderate,district_hazardous_facilities,pct_facilities,higher_is_worse,{exposed} of {district}'s {total} hazardous facilities sit in an area that floods in heavy rain.,None of {district}'s {total} hazardous facilities sit in an area that floods in heavy rain.,,available,,FacDB solid waste and wastewater; DEP stormwater flood map,
32,air-quality,108,Near a hazardous facility with no air monitoring,composite,,,,,,index,higher_is_worse,,,,retired,no_matching_hazard,,"Depends on NYCCAS monitors, retired with gaps 25 and 26"
33,cross-cutting,1,Few places to reach people in a hazard area,composite,communication_resources,,,stormwater_moderate,district_communication_resources,people_per_resource,higher_is_worse,"{people} people in {district} live in a flood-prone area, and there are {resources} libraries, community centres or government offices to reach them - about {per_resource} people for each.",No one in {district} lives in a flood-prone area.,,available,,"canonical resources (libraries, nonprofits, cultural); DEP stormwater flood map",cross-cutting is a registry-only pseudo-hazard with no page - reachable only through fall-through
